Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 3640: {'00': 923, '10': 79, '01': 19, '11': 3}
Counts for pub 3641: {'00': 1015, '10': 3, '01': 6}
Counts for pub 3642: {'00': 333, '11': 649, '01': 25, '10': 17}
Counts for pub 3643: {'10': 645, '11': 138, '00': 172, '01': 69}
Counts for pub 3644: {'10': 381, '11': 501, '01': 80, '00': 62}
Counts for pub 3645: {'00': 1013, '01': 6, '10': 5}
Counts for pub 3646: {'10': 70, '00': 705, '01': 108, '11': 141}
Counts for pub 3647: {'11': 491, '00': 295, '01': 85, '10': 153}
Counts for pub 3648: {'00': 273, '10': 268, '11': 239, '01': 244}
Counts for pub 3649: {'11': 840, '10': 132, '01': 20, '00': 32}
Counts for pub 3650: {'00': 214, '01': 278, '11': 228, '10': 304}
Counts for pub 3651: {'00': 739, '11': 233, '01': 28, '10': 24}
Counts for pub 3652: {'11': 896, '10': 62, '00': 48, '01': 18}
Counts for pub 3653: {'00': 382, '01': 390, '11': 136, '10': 116}
Counts for pub 3654: {'10': 430, '11': 380, '01': 114, '00': 100}
Counts for pub 3655: {'11': 410, '01': 477, '10': 78, '00': 59}
Counts for pub 3656: {'00': 828, '01': 75, '10': 60, '11': 61}
Counts for pub 3657: {'00': 405, '11': 465, '01': 78, '10': 76}
Counts for pub 3658: {'00': 728, '11': 99, '01': 156, '10': 41}
Counts for pub 3659: {'00': 268, '01': 254, '10': 256, '11': 246}
Counts for pub 3660: {'10': 889, '01': 11, '00': 46, '11': 78}
Counts for pub 3661: {'00': 376, '11': 610, '01': 24, '10': 14}
Counts for pub 3662: {'00': 190, '11': 674, '01': 112, '10': 48}
Counts for pub 3663: {'00': 61, '11': 591, '10': 324, '01': 48}
Counts for pub 3664: {'00': 278, '01': 269, '11': 229, '10': 248}
Counts for pub 3665: {'10': 76, '00': 919, '01': 23, '11': 6}
Counts for pub 3666: {'10': 281, '00': 274, '01': 234, '11': 235}
Counts for pub 3667: {'11': 170, '00': 182, '01': 330, '10': 342}
Counts for pub 3668: {'11': 884, '00': 45, '01': 26, '10': 69}
Counts for pub 3669: {'11': 905, '10': 57, '00': 39, '01': 23}
Counts for pub 3670: {'11': 393, '10': 135, '01': 341, '00': 155}
Counts for pub 3671: {'01': 425, '00': 560, '11': 15, '10': 24}
Counts for pub 3672: {'01': 362, '11': 549, '00': 70, '10': 43}
Counts for pub 3673: {'11': 733, '10': 37, '01': 192, '00': 62}
Counts for pub 3674: {'11': 562, '01': 420, '00': 21, '10': 21}
Counts for pub 3675: {'11': 774, '01': 146, '10': 90, '00': 14}
Counts for pub 3676: {'01': 46, '00': 764, '10': 83, '11': 131}
Counts for pub 3677: {'11': 80, '01': 199, '00': 168, '10': 577}
Counts for pub 3678: {'11': 313, '00': 605, '01': 69, '10': 37}
Counts for pub 3679: {'11': 204, '00': 768, '10': 21, '01': 31}
Counts for pub 3680: {'10': 80, '00': 717, '01': 106, '11': 121}
Counts for pub 3681: {'10': 901, '00': 85, '11': 23, '01': 15}
Counts for pub 3682: {'01': 187, '11': 85, '00': 547, '10': 205}
Counts for pub 3683: {'01': 84, '00': 881, '11': 16, '10': 43}
Counts for pub 3684: {'10': 212, '00': 328, '01': 199, '11': 285}
Counts for pub 3685: {'01': 133, '00': 600, '10': 69, '11': 222}
Counts for pub 3686: {'00': 587, '11': 248, '01': 122, '10': 67}
Counts for pub 3687: {'01': 621, '00': 183, '10': 46, '11': 174}
Counts for pub 3688: {'00': 574, '11': 245, '10': 84, '01': 121}
Counts for pub 3689: {'11': 709, '01': 197, '00': 63, '10': 55}
Counts for pub 3690: {'00': 883, '01': 28, '10': 40, '11': 73}
Counts for pub 3691: {'00': 865, '11': 100, '01': 24, '10': 35}
Counts for pub 3692: {'11': 512, '00': 340, '10': 87, '01': 85}
Counts for pub 3693: {'11': 688, '00': 240, '01': 43, '10': 53}
Counts for pub 3694: {'10': 155, '01': 329, '11': 385, '00': 155}
Counts for pub 3695: {'01': 71, '00': 897, '10': 44, '11': 12}
Counts for pub 3696: {'00': 880, '11': 90, '01': 22, '10': 32}
Counts for pub 3697: {'00': 662, '01': 341, '11': 7, '10': 14}
Counts for pub 3698: {'01': 383, '10': 273, '00': 152, '11': 216}
Counts for pub 3699: {'00': 795, '11': 170, '10': 22, '01': 37}
Counts for pub 3700: {'00': 393, '01': 530, '10': 52, '11': 49}
Counts for pub 3701: {'00': 685, '01': 314, '11': 13, '10': 12}
Counts for pub 3702: {'11': 171, '00': 687, '10': 100, '01': 66}
Counts for pub 3703: {'00': 880, '01': 131, '10': 7, '11': 6}
Counts for pub 3704: {'10': 183, '01': 353, '00': 311, '11': 177}
Counts for pub 3705: {'01': 604, '00': 40, '11': 345, '10': 35}
Counts for pub 3706: {'00': 678, '11': 128, '01': 138, '10': 80}
Counts for pub 3707: {'01': 587, '00': 51, '11': 359, '10': 27}
Counts for pub 3708: {'11': 9, '00': 880, '10': 84, '01': 51}
Counts for pub 3709: {'01': 124, '00': 599, '11': 224, '10': 77}
Counts for pub 3710: {'00': 564, '11': 235, '10': 115, '01': 110}
Counts for pub 3711: {'00': 529, '01': 136, '10': 226, '11': 133}
Counts for pub 3712: {'00': 251, '10': 554, '11': 141, '01': 78}
Counts for pub 3713: {'10': 395, '11': 565, '01': 32, '00': 32}
Counts for pub 3714: {'00': 904, '01': 70, '10': 40, '11': 10}
Counts for pub 3715: {'00': 329, '01': 313, '11': 187, '10': 195}
Counts for pub 3716: {'11': 187, '00': 156, '10': 442, '01': 239}
Counts for pub 3717: {'11': 405, '00': 583, '10': 16, '01': 20}
Counts for pub 3718: {'00': 682, '11': 126, '01': 125, '10': 91}
Counts for pub 3719: {'00': 265, '01': 151, '10': 187, '11': 421}
Counts for pub 3720: {'10': 230, '00': 548, '01': 115, '11': 131}
Counts for pub 3721: {'11': 142, '00': 684, '01': 121, '10': 77}
Counts for pub 3722: {'00': 631, '11': 192, '01': 127, '10': 74}
Counts for pub 3723: {'10': 271, '11': 292, '01': 222, '00': 239}
Counts for pub 3724: {'10': 150, '11': 836, '01': 33, '00': 5}
Counts for pub 3725: {'00': 702, '11': 126, '01': 109, '10': 87}
Counts for pub 3726: {'00': 1014, '10': 6, '01': 4}
Counts for pub 3727: {'11': 444, '10': 465, '00': 61, '01': 54}
Counts for pub 3728: {'01': 489, '00': 236, '10': 126, '11': 173}
Counts for pub 3729: {'10': 404, '11': 549, '00': 30, '01': 41}
Counts for pub 3730: {'01': 760, '00': 87, '10': 147, '11': 30}
Counts for pub 3731: {'00': 911, '01': 59, '10': 41, '11': 13}
Counts for pub 3732: {'10': 193, '11': 479, '01': 89, '00': 263}
Counts for pub 3733: {'00': 795, '01': 211, '11': 7, '10': 11}
Counts for pub 3734: {'11': 395, '01': 342, '10': 150, '00': 137}
Counts for pub 3735: {'11': 150, '01': 496, '00': 94, '10': 284}
Counts for pub 3736: {'00': 656, '01': 347, '11': 14, '10': 7}
Counts for pub 3737: {'11': 127, '10': 295, '00': 466, '01': 136}
Counts for pub 3738: {'11': 419, '00': 541, '10': 35, '01': 29}
Counts for pub 3739: {'01': 650, '11': 152, '00': 169, '10': 53}
Counts for pub 3740: {'01': 212, '10': 772, '00': 22, '11': 18}
Counts for pub 3741: {'10': 75, '00': 575, '11': 249, '01': 125}
Counts for pub 3742: {'11': 766, '10': 229, '00': 21, '01': 8}
Counts for pub 3743: {'00': 358, '11': 499, '10': 81, '01': 86}
Counts for pub 3744: {'01': 645, '11': 146, '00': 176, '10': 57}
Counts for pub 3745: {'10': 230, '01': 147, '00': 535, '11': 112}
Counts for pub 3746: {'10': 126, '01': 479, '00': 281, '11': 138}
Counts for pub 3747: {'01': 161, '10': 799, '11': 28, '00': 36}
Counts for pub 3748: {'11': 496, '10': 182, '01': 107, '00': 239}
Counts for pub 3749: {'11': 504, '00': 233, '10': 191, '01': 96}
Counts for pub 3750: {'10': 207, '11': 273, '01': 226, '00': 318}
Counts for pub 3751: {'01': 635, '10': 64, '00': 212, '11': 113}
Counts for pub 3752: {'11': 353, '01': 596, '10': 31, '00': 44}
Counts for pub 3753: {'10': 156, '11': 812, '01': 41, '00': 15}
Counts for pub 3754: {'00': 181, '11': 557, '10': 113, '01': 173}
Counts for pub 3755: {'01': 285, '11': 581, '00': 91, '10': 67}
Counts for pub 3756: {'00': 545, '11': 79, '01': 198, '10': 202}
Counts for pub 3757: {'10': 423, '00': 335, '01': 131, '11': 135}
Counts for pub 3758: {'00': 860, '10': 86, '11': 59, '01': 19}
Counts for pub 3759: {'11': 21, '00': 905, '10': 33, '01': 65}
Counts for pub 3760: {'11': 540, '10': 156, '01': 71, '00': 257}
Counts for pub 3761: {'00': 412, '11': 132, '01': 317, '10': 163}
Counts for pub 3762: {'11': 790, '01': 82, '00': 70, '10': 82}
Counts for pub 3763: {'11': 673, '10': 318, '00': 16, '01': 17}
Counts for pub 3764: {'10': 114, '01': 347, '11': 426, '00': 137}
Counts for pub 3765: {'01': 25, '11': 746, '10': 173, '00': 80}
Counts for pub 3766: {'11': 756, '10': 179, '00': 71, '01': 18}
Counts for pub 3767: {'11': 492, '01': 415, '00': 53, '10': 64}
Counts for pub 3768: {'11': 758, '00': 80, '01': 28, '10': 158}
Counts for pub 3769: {'00': 313, '10': 271, '11': 209, '01': 231}
Counts for pub 3770: {'00': 170, '01': 136, '10': 338, '11': 380}
Counts for pub 3771: {'11': 401, '10': 315, '00': 196, '01': 112}
Counts for pub 3772: {'10': 508, '01': 270, '00': 86, '11': 160}
Counts for pub 3773: {'00': 266, '11': 354, '10': 214, '01': 190}
Counts for pub 3774: {'10': 352, '00': 162, '01': 346, '11': 164}
Counts for pub 3775: {'10': 303, '11': 677, '01': 25, '00': 19}
Counts for pub 3776: {'01': 140, '11': 408, '00': 160, '10': 316}
Counts for pub 3777: {'11': 36, '10': 878, '00': 82, '01': 28}
Counts for pub 3778: {'01': 218, '00': 239, '11': 256, '10': 311}
Counts for pub 3779: {'11': 239, '01': 246, '10': 358, '00': 181}
Counts for pub 3780: {'11': 622, '00': 172, '01': 179, '10': 51}
Counts for pub 3781: {'11': 771, '00': 124, '01': 71, '10': 58}
Counts for pub 3782: {'10': 631, '11': 323, '00': 32, '01': 38}
Counts for pub 3783: {'00': 104, '10': 218, '11': 625, '01': 77}
Counts for pub 3784: {'01': 401, '11': 511, '10': 54, '00': 58}
Counts for pub 3785: {'01': 220, '11': 166, '00': 382, '10': 256}
Counts for pub 3786: {'11': 543, '01': 78, '00': 262, '10': 141}
Counts for pub 3787: {'01': 207, '10': 257, '11': 138, '00': 422}
Counts for pub 3788: {'11': 586, '00': 73, '10': 326, '01': 39}
Counts for pub 3789: {'01': 24, '11': 745, '00': 76, '10': 179}
Counts for pub 3790: {'10': 741, '11': 184, '01': 67, '00': 32}
Counts for pub 3791: {'11': 460, '01': 107, '00': 327, '10': 130}
Counts for pub 3792: {'10': 514, '01': 79, '00': 367, '11': 64}
Counts for pub 3793: {'11': 183, '00': 791, '01': 33, '10': 17}
Counts for pub 3794: {'11': 674, '10': 322, '00': 9, '01': 19}
Counts for pub 3795: {'10': 38, '01': 446, '00': 40, '11': 500}
Counts for pub 3796: {'00': 771, '11': 180, '10': 23, '01': 50}
Counts for pub 3797: {'00': 292, '11': 208, '10': 209, '01': 315}
Counts for pub 3798: {'10': 143, '11': 522, '00': 271, '01': 88}
Counts for pub 3799: {'01': 287, '11': 312, '10': 217, '00': 208}
Counts for pub 3800: {'01': 93, '00': 297, '11': 497, '10': 137}
Counts for pub 3801: {'10': 137, '00': 285, '11': 513, '01': 89}
Counts for pub 3802: {'11': 733, '01': 42, '10': 175, '00': 74}
Counts for pub 3803: {'01': 675, '11': 186, '10': 120, '00': 43}
Counts for pub 3804: {'01': 781, '10': 62, '00': 149, '11': 32}
Counts for pub 3805: {'00': 300, '11': 485, '10': 150, '01': 89}
Counts for pub 3806: {'10': 478, '00': 74, '11': 400, '01': 72}
Counts for pub 3807: {'00': 1016, '01': 2, '10': 6}
Counts for pub 3808: {'11': 538, '10': 30, '01': 438, '00': 18}
Counts for pub 3809: {'00': 792, '11': 189, '10': 17, '01': 26}
Counts for pub 3810: {'11': 675, '10': 167, '01': 124, '00': 58}
Counts for pub 3811: {'01': 13, '11': 687, '10': 309, '00': 15}
Counts for pub 3812: {'00': 381, '11': 538, '01': 45, '10': 60}
Counts for pub 3813: {'00': 84, '10': 805, '11': 102, '01': 33}
Counts for pub 3814: {'11': 126, '01': 462, '10': 297, '00': 139}
Counts for pub 3815: {'00': 260, '01': 283, '10': 220, '11': 261}
Counts for pub 3816: {'11': 777, '10': 58, '00': 109, '01': 80}
Counts for pub 3817: {'01': 93, '11': 678, '10': 199, '00': 54}
Counts for pub 3818: {'01': 441, '11': 128, '00': 293, '10': 162}
Counts for pub 3819: {'01': 395, '11': 488, '10': 82, '00': 59}
Counts for pub 3820: {'01': 327, '10': 249, '11': 191, '00': 257}
Counts for pub 3821: {'11': 768, '01': 26, '10': 159, '00': 71}
Counts for pub 3822: {'01': 107, '10': 135, '00': 753, '11': 29}
Counts for pub 3823: {'01': 235, '11': 153, '10': 547, '00': 89}
Counts for pub 3824: {'11': 491, '01': 417, '10': 63, '00': 53}
Counts for pub 3825: {'11': 477, '00': 302, '10': 139, '01': 106}
Counts for pub 3826: {'11': 542, '01': 447, '10': 17, '00': 18}
Counts for pub 3827: {'00': 507, '01': 308, '10': 121, '11': 88}
Counts for pub 3828: {'10': 53, '00': 387, '11': 528, '01': 56}
Counts for pub 3829: {'00': 392, '10': 55, '11': 528, '01': 49}
Counts for pub 3830: {'10': 118, '11': 425, '01': 338, '00': 143}
Counts for pub 3831: {'11': 707, '01': 32, '00': 215, '10': 70}
Counts for pub 3832: {'00': 429, '01': 210, '11': 140, '10': 245}
Counts for pub 3833: {'00': 587, '01': 137, '10': 175, '11': 125}
Counts for pub 3834: {'00': 309, '10': 270, '01': 227, '11': 218}
Counts for pub 3835: {'11': 219, '00': 333, '01': 284, '10': 188}
Counts for pub 3836: {'11': 809, '01': 71, '10': 73, '00': 71}
Counts for pub 3837: {'01': 732, '11': 174, '00': 83, '10': 35}
Counts for pub 3838: {'11': 522, '10': 492, '00': 5, '01': 5}
Counts for pub 3839: {'10': 305, '11': 687, '00': 10, '01': 22}
Counts for pub 3840: {'01': 230, '00': 262, '10': 271, '11': 261}
Counts for pub 3841: {'11': 691, '00': 45, '10': 250, '01': 38}
Counts for pub 3842: {'01': 118, '10': 541, '11': 147, '00': 218}
Counts for pub 3843: {'01': 299, '10': 208, '00': 340, '11': 177}
Counts for pub 3844: {'00': 783, '11': 132, '01': 94, '10': 15}
Counts for pub 3845: {'10': 240, '00': 447, '11': 116, '01': 221}
Counts for pub 3846: {'00': 457, '10': 232, '01': 209, '11': 126}
Counts for pub 3847: {'00': 943, '01': 42, '11': 27, '10': 12}
Counts for pub 3848: {'10': 266, '11': 130, '01': 187, '00': 441}
Counts for pub 3849: {'11': 389, '00': 160, '10': 331, '01': 144}
Counts for pub 3850: {'00': 235, '10': 246, '11': 246, '01': 297}
Counts for pub 3851: {'01': 326, '00': 244, '10': 217, '11': 237}
Counts for pub 3852: {'00': 162, '01': 390, '11': 301, '10': 171}
Counts for pub 3853: {'01': 284, '00': 345, '11': 221, '10': 174}
Counts for pub 3854: {'00': 348, '01': 100, '11': 471, '10': 105}
Counts for pub 3855: {'01': 271, '10': 212, '00': 356, '11': 185}
Counts for pub 3856: {'01': 329, '11': 234, '00': 240, '10': 221}
Counts for pub 3857: {'10': 36, '00': 27, '01': 759, '11': 202}
Counts for pub 3858: {'00': 211, '11': 509, '10': 215, '01': 89}
Counts for pub 3859: {'01': 368, '10': 308, '11': 153, '00': 195}
Counts for pub 3860: {'00': 648, '11': 267, '10': 64, '01': 45}
Counts for pub 3861: {'00': 594, '11': 146, '10': 172, '01': 112}
Counts for pub 3862: {'01': 349, '11': 436, '10': 143, '00': 96}
Counts for pub 3863: {'10': 156, '00': 466, '11': 151, '01': 251}
Counts for pub 3864: {'00': 931, '01': 43, '11': 39, '10': 11}
Counts for pub 3865: {'01': 456, '10': 99, '00': 401, '11': 68}
Counts for pub 3866: {'11': 253, '01': 238, '00': 287, '10': 246}
Counts for pub 3867: {'00': 376, '01': 463, '11': 87, '10': 98}
Counts for pub 3868: {'10': 248, '11': 233, '01': 277, '00': 266}
Counts for pub 3869: {'01': 200, '00': 464, '10': 247, '11': 113}
Counts for pub 3870: {'11': 495, '01': 368, '00': 71, '10': 90}
Counts for pub 3871: {'01': 276, '10': 332, '11': 213, '00': 203}
Counts for pub 3872: {'11': 934, '10': 61, '01': 24, '00': 5}
Counts for pub 3873: {'11': 443, '10': 134, '01': 274, '00': 173}
Counts for pub 3874: {'00': 343, '01': 289, '10': 195, '11': 197}
Counts for pub 3875: {'01': 48, '00': 912, '10': 13, '11': 51}
Counts for pub 3876: {'10': 65, '01': 312, '11': 566, '00': 81}
Counts for pub 3877: {'01': 164, '00': 175, '10': 421, '11': 264}
Counts for pub 3878: {'11': 239, '01': 258, '10': 240, '00': 287}
Counts for pub 3879: {'00': 544, '11': 263, '10': 71, '01': 146}
Counts for pub 3880: {'11': 212, '01': 304, '00': 201, '10': 307}
Counts for pub 3881: {'01': 241, '11': 243, '10': 243, '00': 297}
Counts for pub 3882: {'01': 189, '00': 452, '11': 117, '10': 266}
Counts for pub 3883: {'11': 148, '00': 685, '01': 64, '10': 127}
Counts for pub 3884: {'00': 315, '10': 539, '01': 89, '11': 81}
Counts for pub 3885: {'00': 268, '10': 258, '01': 249, '11': 249}
Counts for pub 3886: {'00': 309, '10': 121, '01': 460, '11': 134}
Counts for pub 3887: {'10': 34, '01': 412, '11': 547, '00': 31}
Counts for pub 3888: {'00': 1022, '01': 1, '10': 1}
Counts for pub 3889: {'11': 459, '00': 161, '10': 119, '01': 285}
Counts for pub 3890: {'01': 98, '10': 115, '00': 791, '11': 20}
Counts for pub 3891: {'10': 215, '00': 354, '11': 173, '01': 282}
Counts for pub 3892: {'10': 239, '00': 352, '11': 258, '01': 175}
Counts for pub 3893: {'01': 725, '11': 193, '00': 47, '10': 59}
Counts for pub 3894: {'11': 379, '00': 471, '10': 97, '01': 77}
Counts for pub 3895: {'01': 144, '00': 148, '10': 367, '11': 365}
Counts for pub 3896: {'11': 160, '00': 589, '10': 170, '01': 105}
Counts for pub 3897: {'10': 550, '00': 120, '11': 255, '01': 99}
Counts for pub 3898: {'01': 182, '10': 387, '00': 260, '11': 195}
Counts for pub 3899: {'00': 937, '01': 39, '11': 35, '10': 13}
Counts for pub 3900: {'11': 286, '01': 232, '00': 251, '10': 255}
Counts for pub 3901: {'10': 278, '01': 186, '00': 437, '11': 123}
Counts for pub 3902: {'11': 679, '00': 62, '10': 197, '01': 86}
Counts for pub 3903: {'01': 361, '11': 337, '00': 160, '10': 166}
Counts for pub 3904: {'00': 935, '11': 33, '01': 49, '10': 7}
Counts for pub 3905: {'00': 228, '10': 352, '01': 273, '11': 171}
Counts for pub 3906: {'00': 1006, '10': 11, '01': 6, '11': 1}
Counts for pub 3907: {'10': 246, '11': 675, '01': 77, '00': 26}
Counts for pub 3908: {'00': 380, '11': 219, '01': 189, '10': 236}
Counts for pub 3909: {'11': 223, '01': 157, '00': 377, '10': 267}
Counts for pub 3910: {'00': 749, '11': 135, '10': 29, '01': 111}
Counts for pub 3911: {'00': 344, '10': 387, '11': 139, '01': 154}
Counts for pub 3912: {'01': 491, '11': 87, '00': 362, '10': 84}
Counts for pub 3913: {'11': 557, '01': 94, '10': 252, '00': 121}
Counts for pub 3914: {'00': 341, '01': 193, '11': 307, '10': 183}
Counts for pub 3915: {'11': 271, '00': 339, '10': 206, '01': 208}
Counts for pub 3916: {'10': 534, '11': 144, '01': 135, '00': 211}
Counts for pub 3917: {'00': 662, '01': 194, '10': 118, '11': 50}
Counts for pub 3918: {'01': 375, '11': 281, '00': 198, '10': 170}
Counts for pub 3919: {'00': 358, '01': 277, '11': 170, '10': 219}
Counts for pub 3920: {'11': 847, '00': 32, '10': 126, '01': 19}
Counts for pub 3921: {'00': 368, '01': 393, '11': 125, '10': 138}
Counts for pub 3922: {'01': 136, '10': 47, '11': 808, '00': 33}
Counts for pub 3923: {'11': 726, '00': 66, '01': 21, '10': 211}
Counts for pub 3924: {'10': 230, '00': 399, '11': 237, '01': 158}
Counts for pub 3925: {'11': 510, '00': 382, '10': 75, '01': 57}
Counts for pub 3926: {'00': 384, '11': 528, '10': 57, '01': 55}
Counts for pub 3927: {'01': 311, '00': 125, '11': 460, '10': 128}
Counts for pub 3928: {'00': 390, '01': 60, '11': 495, '10': 79}
Counts for pub 3929: {'00': 467, '01': 169, '10': 301, '11': 87}
Counts for pub 3930: {'11': 615, '10': 387, '00': 14, '01': 8}
Counts for pub 3931: {'01': 10, '11': 657, '10': 334, '00': 23}
Counts for pub 3932: {'11': 97, '01': 496, '00': 260, '10': 171}
Counts for pub 3933: {'01': 207, '00': 575, '11': 124, '10': 118}
Counts for pub 3934: {'01': 458, '10': 158, '00': 208, '11': 200}
Counts for pub 3935: {'11': 721, '10': 205, '00': 65, '01': 33}
Counts for pub 3936: {'11': 665, '10': 332, '01': 15, '00': 12}
Counts for pub 3937: {'10': 818, '11': 74, '00': 50, '01': 82}
Counts for pub 3938: {'11': 259, '10': 245, '01': 256, '00': 264}
Counts for pub 3939: {'10': 461, '00': 75, '11': 424, '01': 64}
Counts for pub 3940: {'01': 139, '11': 840, '10': 39, '00': 6}
Counts for pub 3941: {'11': 939, '01': 41, '10': 40, '00': 4}
Counts for pub 3942: {'11': 294, '10': 382, '00': 160, '01': 188}
Counts for pub 3943: {'11': 802, '10': 167, '00': 18, '01': 37}
Counts for pub 3944: {'01': 208, '10': 162, '11': 382, '00': 272}
Counts for pub 3945: {'10': 349, '00': 445, '11': 110, '01': 120}
Counts for pub 3946: {'11': 829, '00': 50, '10': 127, '01': 18}
Counts for pub 3947: {'01': 112, '10': 349, '00': 455, '11': 108}
Counts for pub 3948: {'10': 264, '11': 727, '00': 17, '01': 16}
Counts for pub 3949: {'11': 535, '01': 46, '00': 375, '10': 68}
